Gene stable ID	Gene stable ID version	Mouse gene stable ID	Mouse gene name	Gene name	Mouse homology type
ENSG00000105676	ENSG00000105676.14	ENSMUSG00000002343	Armc6	ARMC6	ortholog_one2one
ENSG00000228177	ENSG00000228177.2			C6orf47	
ENSG00000198113	ENSG00000198113.3	ENSMUSG00000059555	Tor4a	TOR4A	ortholog_one2one
ENSG00000276618	ENSG00000276618.4			RAD17	
ENSG00000238017	ENSG00000238017.1			SAPCD1-AS1	
ENSG00000182551	ENSG00000182551.14	ENSMUSG00000020629	Adi1	ADI1	ortholog_one2one
ENSG00000198435	ENSG00000198435.4	ENSMUSG00000078202	Nrarp	NRARP	ortholog_one2one
ENSG00000237834	ENSG00000237834.9			MOG	
ENSG00000120156	ENSG00000120156.22	ENSMUSG00000006386	Tek	TEK	ortholog_one2one
ENSG00000169188	ENSG00000169188.5	ENSMUSG00000025269	Apex2	APEX2	ortholog_one2one
ENSG00000278505	ENSG00000278505.5	ENSMUSG00000051452	Gm11437	C17orf78	ortholog_one2one
ENSG00000111581	ENSG00000111581.10	ENSMUSG00000052798	Nup107	NUP107	ortholog_one2one
ENSG00000237046	ENSG00000237046.8			TRIM40	
ENSG00000277273	ENSG00000277273.5			CDK7	
ENSG00000232962	ENSG00000232962.11			HLA-DOA	
ENSG00000228357	ENSG00000228357.2			HSD17B8	
ENSG00000224096	ENSG00000224096.5			HCG25	
ENSG00000158578	ENSG00000158578.21	ENSMUSG00000025270	Alas2	ALAS2	ortholog_one2one
ENSG00000138640	ENSG00000138640.15	ENSMUSG00000037709	Fam13a	FAM13A	ortholog_one2one
ENSG00000183153	ENSG00000183153.7	ENSMUSG00000047197	Gjd3	GJD3	ortholog_one2one
ENSG00000224501	ENSG00000224501.5			HSPA1B	
ENSG00000234729	ENSG00000234729.9			AGER	
ENSG00000226260	ENSG00000226260.9			HLA-DRA	
ENSG00000275045	ENSG00000275045.4			GTF2H2	
ENSG00000284288	ENSG00000284288.1			MIR378D2	
ENSG00000108306	ENSG00000108306.13	ENSMUSG00000020883	Fbxl20	FBXL20	ortholog_one2one
ENSG00000223852	ENSG00000223852.7			ZFP57	
ENSG00000233164	ENSG00000233164.9			C6orf136	
ENSG00000148700	ENSG00000148700.15	ENSMUSG00000025026	Add3	ADD3	ortholog_one2one
ENSG00000175344	ENSG00000175344.19	ENSMUSG00000030525	Chrna7	CHRNA7	ortholog_one2one
ENSG00000100288	ENSG00000100288.20	ENSMUSG00000022617	Chkb	CHKB	ortholog_one2one
ENSG00000229470	ENSG00000229470.9			GNL1	
ENSG00000230128	ENSG00000230128.3			IER3	
ENSG00000230907	ENSG00000230907.2			FKBPL	
ENSG00000233813	ENSG00000233813.8			MRPS18B	
ENSG00000275300	ENSG00000275300.4			MCCC2	
ENSG00000229493	ENSG00000229493.9			HLA-DQB2	
ENSG00000257473	ENSG00000257473.7			HLA-DQA2	
ENSG00000236632	ENSG00000236632.5			HLA-E	
ENSG00000234079	ENSG00000234079.2			HCG27	
ENSG00000001036	ENSG00000001036.14	ENSMUSG00000019810	Fuca2	FUCA2	ortholog_one2one
ENSG00000234507	ENSG00000234507.9			BRD2	
ENSG00000225130	ENSG00000225130.9			TRIM31	
ENSG00000236843	ENSG00000236843.8			NRM	
ENSG00000102891	ENSG00000102891.4	ENSMUSG00000031757	Mt4	MT4	ortholog_one2one
ENSG00000231488	ENSG00000231488.9			ABHD16A	
ENSG00000274671	ENSG00000274671.4			MARVELD2	
ENSG00000125148	ENSG00000125148.7			MT2A	
ENSG00000236271	ENSG00000236271.8			FLOT1	
ENSG00000229253	ENSG00000229253.5			ZBTB22	
ENSG00000273873	ENSG00000273873.4			BDP1	
ENSG00000224103	ENSG00000224103.7			HLA-DPA1	
ENSG00000119899	ENSG00000119899.13	ENSMUSG00000049624	Slc17a5	SLC17A5	ortholog_one2one
ENSG00000233439	ENSG00000233439.8			PSORS1C1	
ENSG00000169715	ENSG00000169715.15			MT1E	
ENSG00000233151	ENSG00000233151.6			CYP21A2	
ENSG00000234343	ENSG00000234343.6			NEU1	
ENSG00000231558	ENSG00000231558.11			HLA-DOA	
ENSG00000273814	ENSG00000273814.4			OCLN	
ENSG00000225234	ENSG00000225234.1			TRAPPC12-AS1	
ENSG00000231543	ENSG00000231543.9			C2	
ENSG00000231474	ENSG00000231474.5			MUC22	
ENSG00000230004	ENSG00000230004.1			HCG14	
ENSG00000237900	ENSG00000237900.2			ZBTB12	
ENSG00000231834	ENSG00000231834.10			HLA-A	
ENSG00000278839	ENSG00000278839.4			SERF1B	
ENSG00000205364	ENSG00000205364.4	ENSMUSG00000031765	Mt1	MT1M	ortholog_one2one
ENSG00000233561	ENSG00000233561.6			DHX16	
ENSG00000112290	ENSG00000112290.13	ENSMUSG00000019831	Wasf1	WASF1	ortholog_one2one
ENSG00000227144	ENSG00000227144.8			VWA7	
ENSG00000227402	ENSG00000227402.11			SLC39A7	
ENSG00000205362	ENSG00000205362.11			MT1A	
ENSG00000277868	ENSG00000277868.4			CCDC125	
ENSG00000238269	ENSG00000238269.9			PAGE2B	
ENSG00000172554	ENSG00000172554.12	ENSMUSG00000020672	Sntg2	SNTG2	ortholog_one2one
ENSG00000239865	ENSG00000239865.6			RPP21	
ENSG00000235155	ENSG00000235155.4			B3GALT4	
ENSG00000068001	ENSG00000068001.14	ENSMUSG00000010047	Hyal2	HYAL2	ortholog_one2one
ENSG00000223752	ENSG00000223752.8			ATAT1	
ENSG00000233043	ENSG00000233043.1			HCG24	
ENSG00000229488	ENSG00000229488.9			PRRT1	
ENSG00000234068	ENSG00000234068.7			PAGE2	
ENSG00000229681	ENSG00000229681.1			MDC1-AS1	
ENSG00000198417	ENSG00000198417.7			MT1F	
ENSG00000277773	ENSG00000277773.4			SMN2	
ENSG00000226618	ENSG00000226618.9			PRRC2A	
ENSG00000235396	ENSG00000235396.5			NOTCH4	
ENSG00000149451	ENSG00000149451.19	ENSMUSG00000027318	Adam33	ADAM33	ortholog_one2one
ENSG00000187193	ENSG00000187193.9			MT1X	
ENSG00000008735	ENSG00000008735.14	ENSMUSG00000022619	Mapk8ip2	MAPK8IP2	ortholog_one2one
ENSG00000148143	ENSG00000148143.13	ENSMUSG00000060206	Zfp462	ZNF462	ortholog_one2one
ENSG00000278461	ENSG00000278461.4			MRPS36	
ENSG00000223618	ENSG00000223618.7			VPS52	
ENSG00000229998	ENSG00000229998.8			PPP1R18	
ENSG00000228520	ENSG00000228520.3			RING1	
ENSG00000233323	ENSG00000233323.10			TNXB	
ENSG00000235067	ENSG00000235067.10			TUBB	
ENSG00000228883	ENSG00000228883.9			LY6G5C	
ENSG00000196924	ENSG00000196924.19	ENSMUSG00000031328	Flna	FLNA	ortholog_one2one
ENSG00000186451	ENSG00000186451.2			SPATA12	
ENSG00000228859	ENSG00000228859.2			LY6G6C	
ENSG00000103316	ENSG00000103316.12	ENSMUSG00000030905	Crym	CRYM	ortholog_one2one
ENSG00000141741	ENSG00000141741.12	ENSMUSG00000002580	Mien1	MIEN1	ortholog_one2one
ENSG00000228321	ENSG00000228321.3			TNF	
ENSG00000118620	ENSG00000118620.13	ENSMUSG00000058246	Gm10037	ZNF430	ortholog_one2one
ENSG00000243009	ENSG00000243009.6			RPP21	
ENSG00000235452	ENSG00000235452.2			LY6G6C	
ENSG00000236895	ENSG00000236895.10			GTF2H4	
ENSG00000233076	ENSG00000233076.6			DDAH2	
ENSG00000226017	ENSG00000226017.2			PRICKLE2-AS3	
ENSG00000230230	ENSG00000230230.7			TRIM26	
ENSG00000204364	ENSG00000204364.10			C2	
ENSG00000225589	ENSG00000225589.9			MDC1	
ENSG00000237192	ENSG00000237192.8			TRIM10	
ENSG00000011198	ENSG00000011198.10	ENSMUSG00000032540	Abhd5	ABHD5	ortholog_one2one
ENSG00000235665	ENSG00000235665.6			LINC00298	
ENSG00000237335	ENSG00000237335.8			PFDN6	
ENSG00000196109	ENSG00000196109.9			ZNF676	
ENSG00000235960	ENSG00000235960.9			TRIM15	
ENSG00000112493	ENSG00000112493.12			TAPBP	
ENSG00000108576	ENSG00000108576.10	ENSMUSG00000020838	Slc6a4	SLC6A4	ortholog_one2one
ENSG00000226384	ENSG00000226384.10			GTF2H4	
ENSG00000100299	ENSG00000100299.18	ENSMUSG00000022620	Arsa	ARSA	ortholog_one2one
ENSG00000171865	ENSG00000171865.10	ENSMUSG00000020630	Rnaseh1	RNASEH1	ortholog_one2one
ENSG00000167232	ENSG00000167232.14			ZNF91	
ENSG00000238238	ENSG00000238238.2			MCCD1	
ENSG00000231044	ENSG00000231044.10			NELFE	
ENSG00000232339	ENSG00000232339.5			NOTCH4	
ENSG00000167780	ENSG00000167780.12	ENSMUSG00000023045	Soat2	SOAT2	ortholog_one2one
ENSG00000228575	ENSG00000228575.9			MDC1	
ENSG00000140749	ENSG00000140749.9	ENSMUSG00000035004	Igsf6	IGSF6	ortholog_one2one
ENSG00000234461	ENSG00000234461.1			MUC22	
ENSG00000226923	ENSG00000226923.2			MCCD1	
ENSG00000178996	ENSG00000178996.14	ENSMUSG00000042364	Snx18	SNX18	ortholog_one2one
ENSG00000232510	ENSG00000232510.1			TRIM31-AS1	
ENSG00000223367	ENSG00000223367.6			RPS18	
ENSG00000106366	ENSG00000106366.9	ENSMUSG00000037411	Serpine1	SERPINE1	ortholog_one2one
ENSG00000236011	ENSG00000236011.6			GPANK1	
ENSG00000272342	ENSG00000272342.1			LINC01115	
ENSG00000186529	ENSG00000186529.16	ENSMUSG00000003484	Cyp4f18	CYP4F3	ortholog_one2one
ENSG00000232839	ENSG00000232839.10			TRIM39	
ENSG00000231048	ENSG00000231048.8			LST1	
ENSG00000112029	ENSG00000112029.10	ENSMUSG00000019773	Fbxo5	FBXO5	ortholog_one2one
ENSG00000140740	ENSG00000140740.11	ENSMUSG00000030884	Uqcrc2	UQCRC2	ortholog_one2one
ENSG00000224290	ENSG00000224290.7			APOM	
ENSG00000224841	ENSG00000224841.9			RGL2	
ENSG00000121898	ENSG00000121898.13	ENSMUSG00000030862	Cpxm2	CPXM2	ortholog_one2one
ENSG00000131013	ENSG00000131013.4	ENSMUSG00000015757	Ppil4	PPIL4	ortholog_one2one
ENSG00000274382	ENSG00000274382.2			PROP1	
ENSG00000234475	ENSG00000234475.5			HSPA1A	
ENSG00000113272	ENSG00000113272.14	ENSMUSG00000011254	Thg1l	THG1L	ortholog_one2one
ENSG00000163935	ENSG00000163935.14	ENSMUSG00000006527	Sfmbt1	SFMBT1	ortholog_one2one
ENSG00000005421	ENSG00000005421.9	ENSMUSG00000002588	Pon1	PON1	ortholog_one2one
ENSG00000231608	ENSG00000231608.9			TNXB	
ENSG00000233904	ENSG00000233904.6			HLA-E	
ENSG00000204359	ENSG00000204359.9			CFB	
ENSG00000151353	ENSG00000151353.15	ENSMUSG00000043061	Tmem18	TMEM18	ortholog_one2one
ENSG00000235650	ENSG00000235650.6			RPS18	
ENSG00000070190	ENSG00000070190.13	ENSMUSG00000028159	Dapp1	DAPP1	ortholog_one2one
ENSG00000137403	ENSG00000137403.19			HLA-F	
ENSG00000227317	ENSG00000227317.6			DDAH2	
ENSG00000234078	ENSG00000234078.10			DDR1	
ENSG00000231555	ENSG00000231555.4			HSPA1B	
ENSG00000225141	ENSG00000225141.9			PRRT1	
ENSG00000130023	ENSG00000130023.16	ENSMUSG00000116895	Gm3435	ERMARD	ortholog_one2many
ENSG00000130023	ENSG00000130023.16	ENSMUSG00000116953	9030025P20Rik	ERMARD	ortholog_one2many
ENSG00000130023	ENSG00000130023.16	ENSMUSG00000036552	Ermard	ERMARD	ortholog_one2many
ENSG00000137332	ENSG00000137332.19			DDR1	
ENSG00000230700	ENSG00000230700.11			CSNK2B	
ENSG00000254505	ENSG00000254505.11			CHMP4A	
ENSG00000124140	ENSG00000124140.15	ENSMUSG00000017740	Slc12a5	SLC12A5	ortholog_one2one
ENSG00000230072	ENSG00000230072.2			SFTA2	
ENSG00000229802	ENSG00000229802.11			SLC39A7	
ENSG00000203463	ENSG00000203463.2			SLC44A4	
ENSG00000233149	ENSG00000233149.10			GTF2H4	
ENSG00000151025	ENSG00000151025.11	ENSMUSG00000045967	Gpr158	GPR158	ortholog_one2one
ENSG00000139318	ENSG00000139318.8	ENSMUSG00000019960	Dusp6	DUSP6	ortholog_one2one
ENSG00000224378	ENSG00000224378.9			MICB	
ENSG00000171863	ENSG00000171863.15	ENSMUSG00000061477	Rps7	RPS7	ortholog_one2one
ENSG00000223887	ENSG00000223887.10			PRR3	
ENSG00000225590	ENSG00000225590.9			VPS52	
ENSG00000138650	ENSG00000138650.9	ENSMUSG00000049100	Pcdh10	PCDH10	ortholog_one2one
ENSG00000223494	ENSG00000223494.11			VARS2	
ENSG00000227665	ENSG00000227665.1			C6orf47-AS1	
ENSG00000241394	ENSG00000241394.7			HLA-DMA	
ENSG00000019991	ENSG00000019991.18	ENSMUSG00000028864	Hgf	HGF	ortholog_one2one
ENSG00000176049	ENSG00000176049.16	ENSMUSG00000024502	Jakmip2	JAKMIP2	ortholog_one2one
ENSG00000237071	ENSG00000237071.7			TRIM27	
ENSG00000226060	ENSG00000226060.7			TRIM26	
ENSG00000224305	ENSG00000224305.9			HLA-DQB2	
ENSG00000229295	ENSG00000229295.11			HLA-DPB1	
ENSG00000127720	ENSG00000127720.8	ENSMUSG00000036009	Mettl25	METTL25	ortholog_one2one
ENSG00000235744	ENSG00000235744.11			HLA-DOA	
ENSG00000232575	ENSG00000232575.10			TUBB	
ENSG00000235405	ENSG00000235405.2			HCG15	
ENSG00000213920	ENSG00000213920.9			MDP1	
ENSG00000206355	ENSG00000206355.11			CCHCR1	
ENSG00000233035	ENSG00000233035.2			HCG15	
ENSG00000155229	ENSG00000155229.21	ENSMUSG00000025159	Mms19	MMS19	ortholog_one2one
ENSG00000206140	ENSG00000206140.12	ENSMUSG00000055692	Tmem191	TMEM191C	ortholog_one2many
ENSG00000114738	ENSG00000114738.11	ENSMUSG00000032577	Mapkapk3	MAPKAPK3	ortholog_one2one
ENSG00000227647	ENSG00000227647.2			HCG9	
ENSG00000234947	ENSG00000234947.8			STK19	
ENSG00000234623	ENSG00000234623.9			MOG	
ENSG00000226614	ENSG00000226614.11			SLC39A7	
ENSG00000224508	ENSG00000224508.1			MDC1-AS1	
ENSG00000188895	ENSG00000188895.12	ENSMUSG00000052915	Msl1	MSL1	ortholog_one2one
ENSG00000239754	ENSG00000239754.9			CFB	
ENSG00000255526	ENSG00000255526.6			NEDD8-MDP1	
ENSG00000232005	ENSG00000232005.7			PBX2	
ENSG00000230678	ENSG00000230678.10			BRD2	
ENSG00000236697	ENSG00000236697.7			GPSM3	
ENSG00000111145	ENSG00000111145.8	ENSMUSG00000008398	Elk3	ELK3	ortholog_one2one
ENSG00000223699	ENSG00000223699.8			COL11A2	
ENSG00000229685	ENSG00000229685.8			HLA-DPA1	
ENSG00000237727	ENSG00000237727.7			AIF1	
ENSG00000287542	ENSG00000287542.1			HERC3	
ENSG00000243719	ENSG00000243719.7			HLA-DMA	
ENSG00000234836	ENSG00000234836.7			AIF1	
ENSG00000129559	ENSG00000129559.13	ENSMUSG00000010376	Nedd8	NEDD8	ortholog_one2one
ENSG00000100228	ENSG00000100228.14	ENSMUSG00000020175	Rab36	RAB36	ortholog_one2one
ENSG00000170153	ENSG00000170153.11	ENSMUSG00000047747	Rnf150	RNF150	ortholog_one2one
ENSG00000231479	ENSG00000231479.8			SLC44A4	
ENSG00000224608	ENSG00000224608.10			HLA-B	
ENSG00000163029	ENSG00000163029.16	ENSMUSG00000020608	Smc6	SMC6	ortholog_one2one
ENSG00000188322	ENSG00000188322.8	ENSMUSG00000042978	Sbk1	SBK1	ortholog_one2one
ENSG00000197372	ENSG00000197372.10			ZNF675	
ENSG00000151572	ENSG00000151572.18	ENSMUSG00000035189	Ano4	ANO4	ortholog_one2one
ENSG00000092295	ENSG00000092295.12	ENSMUSG00000022218	Tgm1	TGM1	ortholog_one2one
ENSG00000226850	ENSG00000226850.2			ATP6V1G2	
ENSG00000237825	ENSG00000237825.9			RGL2	
ENSG00000226111	ENSG00000226111.8			MRPS18B	
ENSG00000235360	ENSG00000235360.2			C6orf47	
ENSG00000206538	ENSG00000206538.9	ENSMUSG00000091243	Vgll3	VGLL3	ortholog_one2one
ENSG00000241713	ENSG00000241713.7			LY6G5B	
ENSG00000235107	ENSG00000235107.3			RING1	
ENSG00000226402	ENSG00000226402.8			TRIM31	
ENSG00000236418	ENSG00000236418.8			HLA-DQA1	
ENSG00000223533	ENSG00000223533.8			CCHCR1	
ENSG00000173156	ENSG00000173156.7	ENSMUSG00000041845	Rhod	RHOD	ortholog_one2one
ENSG00000250733	ENSG00000250733.6			C8orf17	
ENSG00000235017	ENSG00000235017.9			C2	
ENSG00000184113	ENSG00000184113.10	ENSMUSG00000041378	Cldn5	CLDN5	ortholog_one2one
ENSG00000184949	ENSG00000184949.18	ENSMUSG00000042564	Fam227a	FAM227A	ortholog_one2one
ENSG00000213996	ENSG00000213996.13	ENSMUSG00000036151	Tm6sf2	TM6SF2	ortholog_one2one
ENSG00000114480	ENSG00000114480.13	ENSMUSG00000022707	Gbe1	GBE1	ortholog_one2one
ENSG00000225454	ENSG00000225454.2			SFTA2	
ENSG00000235658	ENSG00000235658.8			ATAT1	
ENSG00000131759	ENSG00000131759.18	ENSMUSG00000037992	Rara	RARA	ortholog_one2one
ENSG00000206268	ENSG00000206268.11			NELFE	
ENSG00000197272	ENSG00000197272.2	ENSMUSG00000044701	Il27	IL27	ortholog_one2one
ENSG00000249395	ENSG00000249395.4			CASC9	
ENSG00000179331	ENSG00000179331.3	ENSMUSG00000055069	Rab39	RAB39A	ortholog_one2one
ENSG00000226788	ENSG00000226788.3			RING1	
ENSG00000118491	ENSG00000118491.10	ENSMUSG00000019815	Zc2hc1b	ZC2HC1B	ortholog_one2one
ENSG00000234530	ENSG00000234530.8			NFKBIL1	
ENSG00000109445	ENSG00000109445.11	ENSMUSG00000031711	Zfp330	ZNF330	ortholog_one2one
ENSG00000157379	ENSG00000157379.14	ENSMUSG00000002332	Dhrs1	DHRS1	ortholog_one2one
ENSG00000235220	ENSG00000235220.10			HLA-F	
ENSG00000235025	ENSG00000235025.8			TRIM10	
ENSG00000237196	ENSG00000237196.1			HCG24	
ENSG00000226936	ENSG00000226936.4			B3GALT4	
ENSG00000137197	ENSG00000137197.6			CDSN	
ENSG00000225164	ENSG00000225164.9			PRRC2A	
ENSG00000231372	ENSG00000231372.8			MICB	
ENSG00000134153	ENSG00000134153.10	ENSMUSG00000055943	Emc7	EMC7	ortholog_one2one
ENSG00000064607	ENSG00000064607.17	ENSMUSG00000036054	Sugp2	SUGP2	ortholog_one2one
ENSG00000224200	ENSG00000224200.2			FKBPL	
ENSG00000235233	ENSG00000235233.9			MICA	
ENSG00000233890	ENSG00000233890.6			TCF19	
ENSG00000183246	ENSG00000183246.8	ENSMUSG00000071636	Rimbp3	RIMBP3C	ortholog_one2many
ENSG00000100249	ENSG00000100249.5			C22orf31	
ENSG00000042429	ENSG00000042429.12	ENSMUSG00000031935	Med17	MED17	ortholog_one2one
ENSG00000228849	ENSG00000228849.3			TNF	
ENSG00000227046	ENSG00000227046.8			DAXX	
ENSG00000227856	ENSG00000227856.1			SAPCD1-AS1	
ENSG00000237022	ENSG00000237022.10			HLA-C	
ENSG00000244672	ENSG00000244672.4			LY6G5B	
ENSG00000100034	ENSG00000100034.14	ENSMUSG00000026181	Ppm1f	PPM1F	ortholog_one2one
ENSG00000234313	ENSG00000234313.2			HCG9	
ENSG00000088538	ENSG00000088538.13	ENSMUSG00000039716	Dock3	DOCK3	ortholog_one2one
ENSG00000055211	ENSG00000055211.14	ENSMUSG00000040006	Ginm1	GINM1	ortholog_one2one
ENSG00000235178	ENSG00000235178.4			ZNF311	
ENSG00000227458	ENSG00000227458.8			TRIM40	
ENSG00000227739	ENSG00000227739.10			TUBB	
ENSG00000125844	ENSG00000125844.17	ENSMUSG00000027422	Rrbp1	RRBP1	ortholog_one2one
ENSG00000203727	ENSG00000203727.4	ENSMUSG00000060487	Samd5	SAMD5	ortholog_one2one
ENSG00000228907	ENSG00000228907.5			RNF5	
ENSG00000204221	ENSG00000204221.11			WDR46	
ENSG00000241534	ENSG00000241534.9			CFB	
ENSG00000182405	ENSG00000182405.6			PGBD4	
ENSG00000238027	ENSG00000238027.1			TRIM31-AS1	
ENSG00000008018	ENSG00000008018.9	ENSMUSG00000014769	Psmb1	PSMB1	ortholog_one2one
ENSG00000231247	ENSG00000231247.8			PPP1R18	
ENSG00000134152	ENSG00000134152.11	ENSMUSG00000027132	Katnbl1	KATNBL1	ortholog_one2one
ENSG00000233210	ENSG00000233210.6			GPANK1	
ENSG00000228712	ENSG00000228712.2			HSD17B8	
ENSG00000196943	ENSG00000196943.14	ENSMUSG00000019297	Nop9	NOP9	ortholog_one2one
ENSG00000230336	ENSG00000230336.9			POU5F1	
ENSG00000228267	ENSG00000228267.8			C4B	
ENSG00000248698	ENSG00000248698.6			LINC01085	
ENSG00000227642	ENSG00000227642.9			AGPAT1	
ENSG00000178952	ENSG00000178952.11	ENSMUSG00000073838	Tufm	TUFM	ortholog_one2one
ENSG00000237112	ENSG00000237112.8			GABBR1	
ENSG00000146411	ENSG00000146411.6	ENSMUSG00000037490	Slc2a12	SLC2A12	ortholog_one2one
ENSG00000145685	ENSG00000145685.14	ENSMUSG00000045312	Lhfpl2	LHFPL2	ortholog_one2one
ENSG00000232143	ENSG00000232143.9			GNL1	
ENSG00000111981	ENSG00000111981.5			ULBP1	
ENSG00000138641	ENSG00000138641.18	ENSMUSG00000029804	Herc3	HERC3	ortholog_one2one
ENSG00000228867	ENSG00000228867.8			NRM	
ENSG00000235676	ENSG00000235676.9			ABHD16A	
ENSG00000180263	ENSG00000180263.14	ENSMUSG00000020021	Fgd6	FGD6	ortholog_one2one
ENSG00000112320	ENSG00000112320.12	ENSMUSG00000038248	Sobp	SOBP	ortholog_one2one
ENSG00000243496	ENSG00000243496.6			HLA-DOB	
ENSG00000100038	ENSG00000100038.20	ENSMUSG00000022779	Top3b	TOP3B	ortholog_one2one
ENSG00000233418	ENSG00000233418.8			DHX16	
ENSG00000072786	ENSG00000072786.13	ENSMUSG00000020272	Stk10	STK10	ortholog_one2one
ENSG00000230134	ENSG00000230134.1			HCG24	
ENSG00000237123	ENSG00000237123.2			CDSN	
ENSG00000228405	ENSG00000228405.5			RNF5	
ENSG00000229501	ENSG00000229501.6			HCG22	
ENSG00000235715	ENSG00000235715.6			PSMB8	
ENSG00000225824	ENSG00000225824.8			HLA-DQB1	
ENSG00000227993	ENSG00000227993.9			HLA-DRA	
ENSG00000184465	ENSG00000184465.16	ENSMUSG00000046991	Wdr27	WDR27	ortholog_one2one
ENSG00000228762	ENSG00000228762.5			HCG20	
ENSG00000227801	ENSG00000227801.8			COL11A2	
ENSG00000233169	ENSG00000233169.1			C6orf47-AS1	
ENSG00000231823	ENSG00000231823.3			HLA-DQA2	
ENSG00000236443	ENSG00000236443.6			PSMB8	
ENSG00000129696	ENSG00000129696.13	ENSMUSG00000031577	Tti2	TTI2	ortholog_one2one
ENSG00000237462	ENSG00000237462.10			TRIM27	
ENSG00000177548	ENSG00000177548.13	ENSMUSG00000030727	Rabep2	RABEP2	ortholog_one2one
ENSG00000231370	ENSG00000231370.9			PRRC2A	
ENSG00000180233	ENSG00000180233.11	ENSMUSG00000058446	Znrf2	ZNRF2	ortholog_one2one
ENSG00000237114	ENSG00000237114.2			CDSN	
ENSG00000233599	ENSG00000233599.8			TRIM15	
ENSG00000226182	ENSG00000226182.8			LST1	
ENSG00000237667	ENSG00000237667.7			LINC01115	
ENSG00000213903	ENSG00000213903.9			LTB4R	
ENSG00000231129	ENSG00000231129.8			ABCF1	
ENSG00000227333	ENSG00000227333.8			EHMT2	
ENSG00000128463	ENSG00000128463.13	ENSMUSG00000027131	Emc4	EMC4	ortholog_one2one
ENSG00000129465	ENSG00000129465.16	ENSMUSG00000022221	Ripk3	RIPK3	ortholog_one2one
ENSG00000223957	ENSG00000223957.6			NEU1	
ENSG00000114541	ENSG00000114541.15	ENSMUSG00000030064	Frmd4b	FRMD4B	ortholog_one2one
ENSG00000234545	ENSG00000234545.8	ENSMUSG00000058503	Fam133b	FAM133B	ortholog_one2one
ENSG00000232256	ENSG00000232256.1			DDX39B-AS1	
ENSG00000224246	ENSG00000224246.2			SFTA2	
ENSG00000231974	ENSG00000231974.6			APOM	
ENSG00000232099	ENSG00000232099.7			ZFP57	
ENSG00000132570	ENSG00000132570.15	ENSMUSG00000021496	Pcbd2	PCBD2	ortholog_one2one
ENSG00000227587	ENSG00000227587.2			ATP6V1G2	
ENSG00000241053	ENSG00000241053.5			HCG17	
ENSG00000205268	ENSG00000205268.11	ENSMUSG00000069094	Pde7a	PDE7A	ortholog_one2one
ENSG00000228333	ENSG00000228333.9			RXRB	
ENSG00000239329	ENSG00000239329.8			HLA-DMB	
ENSG00000262074	ENSG00000262074.7			SNORD3B-2	
ENSG00000231502	ENSG00000231502.6			LSM2	
ENSG00000126353	ENSG00000126353.3	ENSMUSG00000037944	Ccr7	CCR7	ortholog_one2one
ENSG00000237344	ENSG00000237344.7			PBX2	
ENSG00000227565	ENSG00000227565.8			NFKBIL1	
ENSG00000227231	ENSG00000227231.3			IER3	
ENSG00000224641	ENSG00000224641.5			HCG20	
ENSG00000234852	ENSG00000234852.2			ZBTB12	
ENSG00000235773	ENSG00000235773.8			NRM	
ENSG00000228116	ENSG00000228116.9			PPT2	
ENSG00000151693	ENSG00000151693.11	ENSMUSG00000052632	Asap2	ASAP2	ortholog_one2one
ENSG00000141744	ENSG00000141744.4	ENSMUSG00000038216	Pnmt	PNMT	ortholog_one2one
ENSG00000243067	ENSG00000243067.7			PSMB9	
ENSG00000236766	ENSG00000236766.1			MDC1-AS1	
ENSG00000235516	ENSG00000235516.1			C6orf47-AS1	
ENSG00000150712	ENSG00000150712.11	ENSMUSG00000039458	Mtmr12	MTMR12	ortholog_one2one
ENSG00000206240	ENSG00000206240.11			HLA-DRB1	
ENSG00000100968	ENSG00000100968.14	ENSMUSG00000023411	Nfatc4	NFATC4	ortholog_one2one
ENSG00000224923	ENSG00000224923.5			HCG20	
ENSG00000228875	ENSG00000228875.8			CSNK2B	
ENSG00000229061	ENSG00000229061.8			ATAT1	
ENSG00000169902	ENSG00000169902.15	ENSMUSG00000034118	Tpst1	TPST1	ortholog_one2one
ENSG00000290356	ENSG00000290356.1			HCG22	
ENSG00000177455	ENSG00000177455.15	ENSMUSG00000030724	Cd19	CD19	ortholog_one2one
ENSG00000140526	ENSG00000140526.18	ENSMUSG00000039202	Abhd2	ABHD2	ortholog_one2one
ENSG00000167914	ENSG00000167914.12	ENSMUSG00000064224	Gsdma3	GSDMA	ortholog_one2many
ENSG00000167914	ENSG00000167914.12	ENSMUSG00000017211	Gsdma2	GSDMA	ortholog_one2many
ENSG00000167914	ENSG00000167914.12	ENSMUSG00000017204	Gsdma	GSDMA	ortholog_one2many
ENSG00000181333	ENSG00000181333.12	ENSMUSG00000031936	Hephl1	HEPHL1	ortholog_one2one
ENSG00000225312	ENSG00000225312.2			HSD17B8	
ENSG00000236196	ENSG00000236196.8			NFKBIL1	
ENSG00000232414	ENSG00000232414.6			CYP21A2	
ENSG00000234114	ENSG00000234114.8			CCHCR1	
ENSG00000175048	ENSG00000175048.17	ENSMUSG00000034265	Zdhhc14	ZDHHC14	ortholog_one2one
ENSG00000231968	ENSG00000231968.2			UBD	
ENSG00000224705	ENSG00000224705.6			HCG18	
ENSG00000224379	ENSG00000224379.6			TCF19	
ENSG00000172057	ENSG00000172057.10	ENSMUSG00000038150	Ormdl3	ORMDL3	ortholog_one2one
