,ensembl_gene_id,external_gene_name,hsapiens_homolog_ensembl_gene,hsapiens_homolog_associated_gene_name
2110,ENSMUSG00000099840,Gm21409,ENSG00000139351,SYCP3
2111,ENSMUSG00000100951,Gm29339,,
2112,ENSMUSG00000101068,Gm28759,,
2113,ENSMUSG00000101405,Gm28758,,
2114,ENSMUSG00000099633,Gm29071,,
2115,ENSMUSG00000100232,Gm28947,,
2116,ENSMUSG00000100485,Gm20920,ENSG00000139351,SYCP3
2117,ENSMUSG00000101484,Gm28798,,
2118,ENSMUSG00000100587,Gm28797,,
2119,ENSMUSG00000099828,Gm28796,,
2120,ENSMUSG00000101158,Gm20894,ENSG00000139351,SYCP3
2121,ENSMUSG00000101286,Gm21317,ENSG00000139351,SYCP3
2122,ENSMUSG00000100316,Gm28812,,
2123,ENSMUSG00000101284,Gm28811,,
2124,ENSMUSG00000100651,Gm28810,,
2125,ENSMUSG00000101933,Gm20835,ENSG00000139351,SYCP3
2126,ENSMUSG00000100647,Gm29027,,
2127,ENSMUSG00000099894,Gm20911,ENSG00000139351,SYCP3
2128,ENSMUSG00000100125,Gm28739,,
2129,ENSMUSG00000100915,Gm29321,,
2130,ENSMUSG00000096769,Gm21117,ENSG00000139351,SYCP3
2131,ENSMUSG00000094616,Gm20888,ENSG00000139351,SYCP3
2132,ENSMUSG00000100653,Gm28238,,
2133,ENSMUSG00000094647,Gm21650,ENSG00000139351,SYCP3
2134,ENSMUSG00000099646,Gm28541,,
2135,ENSMUSG00000099535,Gm28542,,
2136,ENSMUSG00000101285,Gm28600,,
2137,ENSMUSG00000094821,Gm21518,ENSG00000139351,SYCP3
2138,ENSMUSG00000095979,Gm21209,ENSG00000139351,SYCP3
2139,ENSMUSG00000101339,Gm29180,,
2140,ENSMUSG00000099731,Gm29181,,
2141,ENSMUSG00000096902,Gm20843,ENSG00000139351,SYCP3
2142,ENSMUSG00000101533,Gm29393,,
2143,ENSMUSG00000102045,Gm21294,ENSG00000139351,SYCP3
2144,ENSMUSG00000100407,Gm28472,,
2145,ENSMUSG00000095153,Gm21095,ENSG00000139351,SYCP3
2146,ENSMUSG00000100946,Gm28473,,
2147,ENSMUSG00000101851,Gm28474,,
2148,ENSMUSG00000099541,Gm21488,ENSG00000139351,SYCP3
2149,ENSMUSG00000099573,Gm28854,,
2150,ENSMUSG00000102104,Gm28858,,
2151,ENSMUSG00000100055,Gm20890,ENSG00000139351,SYCP3
2152,ENSMUSG00000101929,Gm28245,,
2153,ENSMUSG00000100708,Gm21173,ENSG00000139351,SYCP3
2154,ENSMUSG00000101353,Gm29203,,
2155,ENSMUSG00000100726,Gm21497,ENSG00000139351,SYCP3
2156,ENSMUSG00000101200,Gm20802,,
2157,ENSMUSG00000099903,Gm29070,,
2158,ENSMUSG00000100972,Gm28553,ENSG00000139351,SYCP3
2159,ENSMUSG00000102019,Gm21873,,
2160,ENSMUSG00000101465,Gm29190,,
2161,ENSMUSG00000095578,Gm21760,ENSG00000139351,SYCP3
2162,ENSMUSG00000095135,Gm21858,ENSG00000139351,SYCP3
2163,ENSMUSG00000100195,Gm29244,,
2164,ENSMUSG00000100667,1700040F15Rik,ENSG00000139351,SYCP3
2165,ENSMUSG00000101653,Gm20792,ENSG00000139351,SYCP3
2166,ENSMUSG00000100423,Gm28754,,
2167,ENSMUSG00000093895,Gm21865,ENSG00000139351,SYCP3
2168,ENSMUSG00000103371,Gm35134,ENSG00000139351,SYCP3
2169,ENSMUSG00000103489,Gm37998,,
2170,ENSMUSG00000104191,Gm30737,ENSG00000139351,SYCP3
2171,ENSMUSG00000102492,Gm36987,,
2172,ENSMUSG00000100330,Gm28531,,
2173,ENSMUSG00000100608,Gm21996,ENSG00000139351,SYCP3
2174,ENSMUSG00000101250,Gm28105,,
2175,ENSMUSG00000100352,Gm28104,,
2176,ENSMUSG00000100682,Gm28103,,
2177,ENSMUSG00000101915,Gm28102,ENSG00000139351,SYCP3
2178,ENSMUSG00000099695,Gm28488,,
2179,ENSMUSG00000100399,Gm28491,,
2180,ENSMUSG00000094789,Gm28490,ENSG00000139351,SYCP3
2181,ENSMUSG00000100321,Gm29579,,
2182,ENSMUSG00000100467,Gm29582,ENSG00000139351,SYCP3
2183,ENSMUSG00000100338,Gm28870,ENSG00000139351,SYCP3
2184,ENSMUSG00000099638,Gm28279,,
2185,ENSMUSG00000094181,Gm21739,ENSG00000139351,SYCP3
2186,ENSMUSG00000094782,Gm21256,ENSG00000139351,SYCP3
2187,ENSMUSG00000095011,Gm20838,ENSG00000139351,SYCP3
2188,ENSMUSG00000101110,Gm28890,,
2189,ENSMUSG00000095141,Gm28891,ENSG00000139351,SYCP3
2190,ENSMUSG00000096178,Gm20837,ENSG00000139351,SYCP3
2191,ENSMUSG00000100964,Gm29503,,
2192,ENSMUSG00000096626,Gm21861,ENSG00000139351,SYCP3
2193,ENSMUSG00000099677,Gm21722,,
2194,ENSMUSG00000100925,Gm28898,,
2195,ENSMUSG00000099740,Gm28897,ENSG00000139351,SYCP3
2196,ENSMUSG00000099792,Gm29564,ENSG00000139351,SYCP3
2197,ENSMUSG00000099925,Gm28827,ENSG00000139351,SYCP3
2198,ENSMUSG00000101528,Gm29110,ENSG00000139351,SYCP3
2199,ENSMUSG00000102262,Gm38107,,
2200,ENSMUSG00000103528,Gm31571,ENSG00000139351,SYCP3
2201,ENSMUSG00000102668,Gm29866,ENSG00000139351,SYCP3
2202,ENSMUSG00000104131,Gm36950,,
2203,ENSMUSG00000100731,Gm29523,,
2204,ENSMUSG00000100074,Gm29524,,
2205,ENSMUSG00000099676,Gm29528,,
2206,ENSMUSG00000094813,Gm20777,ENSG00000147059,SPIN2A
2207,ENSMUSG00000094813,Gm20777,ENSG00000186787,SPIN2B
2208,ENSMUSG00000099482,Gm28955,,
2209,ENSMUSG00000099776,Gm28954,,
2210,ENSMUSG00000101396,Gm28510,ENSG00000139351,SYCP3
2211,ENSMUSG00000100995,Gm29525,,
2212,ENSMUSG00000100273,Gm29526,,
2213,ENSMUSG00000095950,Gm20737,ENSG00000147059,SPIN2A
2214,ENSMUSG00000095950,Gm20737,ENSG00000186787,SPIN2B
2215,ENSMUSG00000118472,Gm21775,,
2216,ENSMUSG00000118422,Gm21900,,
2217,ENSMUSG00000100369,Gm29527,,
2218,ENSMUSG00000075359,Gm20775,,
2219,ENSMUSG00000099668,Gm29522,,
2220,ENSMUSG00000100289,Gm28917,,
2221,ENSMUSG00000101243,Gm28919,ENSG00000139351,SYCP3
2222,ENSMUSG00000079806,Gm21719,ENSG00000147059,SPIN2A
2223,ENSMUSG00000079806,Gm21719,ENSG00000186787,SPIN2B
2224,ENSMUSG00000100479,Gm28921,,
2225,ENSMUSG00000099352,Gm28920,,
2226,ENSMUSG00000101388,Gm28444,,
2227,ENSMUSG00000100634,Gm28171,ENSG00000147059,SPIN2A
2228,ENSMUSG00000100634,Gm28171,ENSG00000186787,SPIN2B
2229,ENSMUSG00000100056,Gm28173,,
2230,ENSMUSG00000102338,Gm37236,,
2231,ENSMUSG00000101291,Gm29194,,
2232,ENSMUSG00000096036,Gm21778,ENSG00000147059,SPIN2A
2233,ENSMUSG00000096036,Gm21778,ENSG00000186787,SPIN2B
2234,ENSMUSG00000102042,Gm29195,,
2235,ENSMUSG00000100878,Gm29196,,
2236,ENSMUSG00000099721,Gm28435,,
2237,ENSMUSG00000101619,Gm28436,,
2238,ENSMUSG00000100710,Gm29197,,
2239,ENSMUSG00002075850,Gm54349,,
2240,ENSMUSG00000099761,Gm29158,,
2241,ENSMUSG00000096706,Gm21854,ENSG00000147059,SPIN2A
2242,ENSMUSG00000096706,Gm21854,ENSG00000186787,SPIN2B
2243,ENSMUSG00000101805,Gm28768,,
2244,ENSMUSG00000101380,Gm28769,,
2245,ENSMUSG00000096268,Gm20914,ENSG00000147059,SPIN2A
2246,ENSMUSG00000096268,Gm20914,ENSG00000186787,SPIN2B
2247,ENSMUSG00000094773,Gm21812,ENSG00000147059,SPIN2A
2248,ENSMUSG00000094773,Gm21812,ENSG00000186787,SPIN2B
2249,ENSMUSG00000099688,Gm29535,,
2250,ENSMUSG00000101094,Gm29533,,
2251,ENSMUSG00000101647,Gm29534,,
2252,ENSMUSG00000096223,Gm21874,ENSG00000147059,SPIN2A
2253,ENSMUSG00000096223,Gm21874,ENSG00000186787,SPIN2B
2254,ENSMUSG00000101737,Gm28849,,
2255,ENSMUSG00000100752,Gm28847,,
2256,ENSMUSG00000100087,Gm29475,,
2257,ENSMUSG00000094556,Gm20821,ENSG00000147059,SPIN2A
2258,ENSMUSG00000094556,Gm20821,ENSG00000186787,SPIN2B
2259,ENSMUSG00000101913,Gm28999,,
2260,ENSMUSG00000094484,Gm21244,ENSG00000147059,SPIN2A
2261,ENSMUSG00000094484,Gm21244,ENSG00000186787,SPIN2B
2262,ENSMUSG00000100080,Gm29364,,
2263,ENSMUSG00000101441,Gm29363,,
2264,ENSMUSG00000091077,Gm21292,ENSG00000147059,SPIN2A
2265,ENSMUSG00000091077,Gm21292,ENSG00000186787,SPIN2B
2266,ENSMUSG00000094679,Gm21721,ENSG00000147059,SPIN2A
2267,ENSMUSG00000094679,Gm21721,ENSG00000186787,SPIN2B
2268,ENSMUSG00000100109,Gm29366,,
2269,ENSMUSG00000100848,Gm29281,,
2270,ENSMUSG00000100105,Gm29330,,
2271,ENSMUSG00000096820,Gm21425,ENSG00000147059,SPIN2A
2272,ENSMUSG00000096820,Gm21425,ENSG00000186787,SPIN2B
2273,ENSMUSG00000095900,Gm20773,ENSG00000147059,SPIN2A
2274,ENSMUSG00000095900,Gm20773,ENSG00000186787,SPIN2B
2275,ENSMUSG00000101143,Gm21151,,
2276,ENSMUSG00000102005,Gm29409,,
2277,ENSMUSG00000101491,Gm28632,,
2278,ENSMUSG00000100624,Gm28101,,
2279,ENSMUSG00000102388,Gm33815,,
2280,ENSMUSG00000102131,Gm21160,,
2281,ENSMUSG00000094699,Gm28637,,
2282,ENSMUSG00000100659,Gm28636,,
2283,ENSMUSG00000099555,Gm28081,,
2284,ENSMUSG00000101369,Gm28080,,
2285,ENSMUSG00000101096,Gm21524,,
2286,ENSMUSG00000102065,Gm28302,,
2287,ENSMUSG00000099550,Gm28079,,
2288,ENSMUSG00000099619,Gm28300,,
2289,ENSMUSG00000099399,Gm28301,,
2290,ENSMUSG00000095366,Gm21860,,
2291,ENSMUSG00000095134,Mid1-ps1,,
2292,ENSMUSG00000096768,Gm47283,,
2293,ENSMUSG00000099871,Gm21742,,
2294,ENSMUSG00000102993,Gm37765,,
2295,ENSMUSG00000103311,Gm38229,,
2296,ENSMUSG00000104070,Gm36866,,
2297,ENSMUSG00000102358,Gm21412,,
2298,ENSMUSG00000102842,Gm38035,,
2299,ENSMUSG00000102576,Gm37875,,
2300,ENSMUSG00000099944,Gm21875,,
2301,ENSMUSG00000100226,Gm20904,,
2302,ENSMUSG00000101957,Gm29576,,
2303,ENSMUSG00000100643,Gm21163,,
2304,ENSMUSG00000101898,Gm28122,,
2305,ENSMUSG00000103615,Gm30045,,
2306,ENSMUSG00000094911,Gm21921,,
2307,ENSMUSG00000104431,Gm37112,,
2308,ENSMUSG00000103758,Gm37287,,
2309,ENSMUSG00000104146,Gm30175,,
2310,ENSMUSG00000102507,Gm21350,,
2311,ENSMUSG00000103714,Gm20857,,
2312,ENSMUSG00000103660,Gm30705,,
2313,ENSMUSG00000094939,Gm21773,,
2314,ENSMUSG00000103982,Gm37451,,
2315,ENSMUSG00000102328,Gm37793,,
2316,ENSMUSG00000103487,Gm30858,,
2317,ENSMUSG00000103639,Gm21791,,
2318,ENSMUSG00000104085,Gm21427,,
2319,ENSMUSG00000101071,Gm29577,,
2320,ENSMUSG00000099425,Gm29573,,
2321,ENSMUSG00000101020,Gm28377,,
2322,ENSMUSG00000094404,Gm21776,,
2323,ENSMUSG00000101408,Gm21155,,
2324,ENSMUSG00000103681,Gm37130,,
2325,ENSMUSG00000104409,Gm37467,,
2326,ENSMUSG00000104127,Gm20928,,
2327,ENSMUSG00000103872,Gm38363,,
2328,ENSMUSG00000102787,Gm30174,,
2329,ENSMUSG00000101090,Gm28619,,
2330,ENSMUSG00000100644,Gm20793,,
2331,ENSMUSG00002075449,Gm54341,,
2332,ENSMUSG00002074974,Gm54342,,
2333,ENSMUSG00000099379,Gm28993,,
2334,ENSMUSG00000100070,Gm28994,,
2335,ENSMUSG00000095452,Gm20795,ENSG00000147059,SPIN2A
2336,ENSMUSG00000095452,Gm20795,ENSG00000186787,SPIN2B
2337,ENSMUSG00000100797,Gm28596,,
2338,ENSMUSG00000099645,Gm20832,,
2339,ENSMUSG00000100091,Gm28597,,
2340,ENSMUSG00000100649,Gm28428,,
2341,ENSMUSG00000100196,Gm20827,,
2342,ENSMUSG00000099628,Gm28427,,
2343,ENSMUSG00000099897,Gm28426,,
2344,ENSMUSG00000099785,Gm28425,,
2345,ENSMUSG00000094071,Gm21729,,
2346,ENSMUSG00000101536,Gm28834,,
2347,ENSMUSG00000099652,Gm28833,,
2348,ENSMUSG00000101212,Gm29354,,
2349,ENSMUSG00000101041,Gm29353,,
2350,ENSMUSG00000118417,Gm50460,,
2351,ENSMUSG00000101611,Gm29357,,
2352,ENSMUSG00000101769,Gm29356,,
2353,ENSMUSG00000095433,Gm21914,,
2354,ENSMUSG00000100508,Gm28617,,
2355,ENSMUSG00000100771,Gm28618,,
2356,ENSMUSG00000100737,Gm21774,,
2357,ENSMUSG00000099780,Gm29537,,
2358,ENSMUSG00000099661,Gm28781,,
2359,ENSMUSG00000100115,Gm28174,,
2360,ENSMUSG00000100043,Gm29433,,
2361,ENSMUSG00000099786,Gm29215,,
2362,ENSMUSG00000095725,Gm21801,,
2363,ENSMUSG00000100900,Gm28850,,
2364,ENSMUSG00000121593,,,
2365,ENSMUSG00000121591,,,
2366,ENSMUSG00000095927,Gm21822,,
2367,ENSMUSG00000121594,,,
2368,ENSMUSG00000095769,Gm21891,,
2369,ENSMUSG00000095759,Gm21828,,
2370,ENSMUSG00000095462,Gm21725,,
2371,ENSMUSG00000101774,Gm29616,,
2372,ENSMUSG00000099883,Gm21784,,
2373,ENSMUSG00000100363,Gm20805,,
2374,ENSMUSG00000100276,Gm29618,,
2375,ENSMUSG00000101318,Gm29109,,
2376,ENSMUSG00000100805,Gm29108,,
2377,ENSMUSG00000094507,Gm21913,,
2378,ENSMUSG00002075716,Gm54339,,
2379,ENSMUSG00000101881,Gm21076,,
2380,ENSMUSG00000101218,Gm29416,,
2381,ENSMUSG00002075673,Gm54340,,
2382,ENSMUSG00000101128,Gm21869,,
2383,ENSMUSG00000101788,Gm20813,,
2384,ENSMUSG00000102087,Gm28790,,
2385,ENSMUSG00000101428,Gm29272,,
2386,ENSMUSG00000093883,Gm21866,,
2387,ENSMUSG00000121534,,,
2388,ENSMUSG00000094227,Gm21767,,
2389,ENSMUSG00000121589,,,
2390,ENSMUSG00000104499,Gm30353,,
2391,ENSMUSG00000103431,Gm30686,,
2392,ENSMUSG00000104260,Gm31186,,
2393,ENSMUSG00000101124,Gm28371,,
2394,ENSMUSG00000099723,Gm28595,,
2395,ENSMUSG00000104381,Gm37032,,
2396,ENSMUSG00000094354,Gm21882,,
2397,ENSMUSG00000121592,,,
2398,ENSMUSG00000121590,,,
2399,ENSMUSG00000096885,Gm21797,,
2400,ENSMUSG00000096120,Gm21800,,
2401,ENSMUSG00000095968,Gm21842,,
2402,ENSMUSG00000101779,Gm28170,,
2403,ENSMUSG00000094529,Gm21744,,
2404,ENSMUSG00000101745,Gm28764,,
2405,ENSMUSG00000100957,Gm28762,,
2406,ENSMUSG00000099756,Gm28763,,
2407,ENSMUSG00000095263,Gm21094,ENSG00000139351,SYCP3
2408,ENSMUSG00000096272,Gm21588,,
2409,ENSMUSG00000099426,Gm28761,,
2410,ENSMUSG00000096711,Gm21599,,
2411,ENSMUSG00000101728,Gm28765,,
2412,ENSMUSG00000101829,Gm21752,,
2413,ENSMUSG00000099496,Gm28365,,
2414,ENSMUSG00000094399,Gm21477,ENSG00000139351,SYCP3
2415,ENSMUSG00000099912,Gm28368,,
2416,ENSMUSG00000100377,Gm28369,,
2417,ENSMUSG00000100243,Gm28367,,
2418,ENSMUSG00000117541,Gm50048,,
2419,ENSMUSG00000118362,Gm19466,,
2420,ENSMUSG00000047161,Chst9,ENSG00000154080,CHST9
2421,ENSMUSG00000058064,Gm10036,,
2422,ENSMUSG00000089454,Gm24228,,
2423,ENSMUSG00000043223,Gm4835,,
2424,ENSMUSG00002076444,Gm54353,,
2425,ENSMUSG00000117532,Gm50076,,
2426,ENSMUSG00002076050,Gm54354,ENSG00000201640,RN7SKP28
2427,ENSMUSG00002076050,Gm54354,ENSG00000222842,RN7SKP168
2428,ENSMUSG00000063628,Gm7665,,
2429,ENSMUSG00000024304,Cdh2,ENSG00000170558,CDH2
2430,ENSMUSG00000085575,Gm15485,,
2431,ENSMUSG00000086095,Gm15328,,
2432,ENSMUSG00000082608,Gm7670,,
2433,ENSMUSG00000087170,1700001G01Rik,,
2434,ENSMUSG00000077305,Gm22470,,
2435,ENSMUSG00002076623,Gm54355,,
2436,ENSMUSG00000117460,4921533I20Rik,,
2437,ENSMUSG00000117615,4930545E07Rik,,
2438,ENSMUSG00000117491,Gm50082,,
2439,ENSMUSG00000048799,Cep120,ENSG00000168944,CEP120
2440,ENSMUSG00000116552,Gm34396,,
2441,ENSMUSG00000091039,Krtap20-2,,
2442,ENSMUSG00002076461,Gm54382,,
2443,ENSMUSG00000058368,Krtap21-1,,
2444,ENSMUSG00000062433,Krtap6-2,,
2445,ENSMUSG00000065968,Ifitm7,ENSG00000185885,IFITM1
2446,ENSMUSG00000065968,Ifitm7,ENSG00000185201,IFITM2
2447,ENSMUSG00000065968,Ifitm7,ENSG00000142089,IFITM3
2448,ENSMUSG00000084576,Gm23655,,
2449,ENSMUSG00000059632,Krtap8-1,ENSG00000183640,KRTAP8-1
2450,ENSMUSG00000056706,Krtap7-1,ENSG00000274749,KRTAP7-1
2451,ENSMUSG00000091212,Krtap11-1,ENSG00000182591,KRTAP11-1
2452,ENSMUSG00000116870,Gm49696,,
2453,ENSMUSG00000116651,Gm17844,,
2454,ENSMUSG00000044117,Bmerb1,ENSG00000166780,BMERB1
2455,ENSMUSG00000082554,Gm15806,,
2456,ENSMUSG00000022827,Rabl3,ENSG00000144840,RABL3
2457,ENSMUSG00000117439,Gm50083,,
2458,ENSMUSG00002076588,Gm54356,,
2459,ENSMUSG00000117574,Gm50084,,
2460,ENSMUSG00000117378,Gm31086,,
2461,ENSMUSG00000082277,Gm15807,,
2462,ENSMUSG00000117636,Gm38432,,
2463,ENSMUSG00000116677,Gm49569,,
2464,ENSMUSG00000083536,Gm15808,,
2465,ENSMUSG00000117407,Gm7720,,
2466,ENSMUSG00002075071,Gm54357,ENSG00000223305,RN7SKP30
2467,ENSMUSG00002076979,Gm54358,ENSG00000274759,RNA5SP527
2468,ENSMUSG00000022821,Hgd,ENSG00000113924,HGD
2469,ENSMUSG00000073563,Csnk1g3,ENSG00000151292,CSNK1G3
2470,ENSMUSG00000069376,Gm5507,,
2471,ENSMUSG00000117769,Gm8594,,
2472,ENSMUSG00000117881,Gm50361,,
2473,ENSMUSG00000118103,4933434P08Rik,,
2474,ENSMUSG00000118154,9330117O12Rik,,
2475,ENSMUSG00000118307,Gm5821,,
2476,ENSMUSG00000116723,Gm46559,,
2477,ENSMUSG00000118120,Gm33732,,
2478,ENSMUSG00000022820,Ndufb4,ENSG00000065518,NDUFB4
2479,ENSMUSG00000117825,Gm50365,,
2480,ENSMUSG00000118063,Gm50366,,
2481,ENSMUSG00000059898,Dsc3,ENSG00000134762,DSC3
2482,ENSMUSG00000116529,Gm4600,,
2483,ENSMUSG00000060657,Marf1,ENSG00000166783,MARF1
2484,ENSMUSG00000052713,Zfp608,ENSG00000168916,ZNF608
2485,ENSMUSG00002076089,Gm54384,,
2486,ENSMUSG00000070074,Mir484,ENSG00000283736,MIR484
2487,ENSMUSG00000022816,Fstl1,ENSG00000163430,FSTL1
2488,ENSMUSG00000084521,Gm24183,ENSG00000212579,
2489,ENSMUSG00000084521,Gm24183,ENSG00000208308,SNORA40B
2490,ENSMUSG00000084521,Gm24183,ENSG00000212266,
2491,ENSMUSG00000084521,Gm24183,ENSG00000210825,SNORA40
2492,ENSMUSG00000084521,Gm24183,ENSG00000273499,
2493,ENSMUSG00000084521,Gm24183,ENSG00000212273,
2494,ENSMUSG00000084521,Gm24183,ENSG00000252352,
2495,ENSMUSG00000084521,Gm24183,ENSG00000212363,
2496,ENSMUSG00000084521,Gm24183,ENSG00000212149,
2497,ENSMUSG00000084521,Gm24183,ENSG00000212134,
2498,ENSMUSG00000084521,Gm24183,ENSG00000212455,
2499,ENSMUSG00000084521,Gm24183,ENSG00000212587,SNORA40C
2500,ENSMUSG00000084521,Gm24183,ENSG00000222966,
2501,ENSMUSG00000084521,Gm24183,ENSG00000252188,
2502,ENSMUSG00000084521,Gm24183,ENSG00000274458,
2503,ENSMUSG00000117733,Gm54359,,
2504,ENSMUSG00000104521,Gm34073,,
2505,ENSMUSG00000088227,Gm22597,,
2506,ENSMUSG00000104455,Gm37828,,
2507,ENSMUSG00000103555,Gm37337,,
2508,ENSMUSG00000092702,Gm24514,ENSG00000265735,RN7SL5P
2509,ENSMUSG00000098119,Gm26959,,
2510,ENSMUSG00000108763,Btnl12,ENSG00000026950,BTN3A1
2511,ENSMUSG00000098007,Gm8614,,
2512,ENSMUSG00000118348,Gm6942,,
2513,ENSMUSG00002075418,Gm54385,,
2514,ENSMUSG00000034158,Lrrc58,ENSG00000163428,LRRC58
2515,ENSMUSG00000118141,Gm4230,,
2516,ENSMUSG00002076978,Gm54360,,
2517,ENSMUSG00000098141,Gm6944,,
2518,ENSMUSG00002075198,Gm54361,,
2519,ENSMUSG00000088440,Gm23555,,
2520,ENSMUSG00002075430,Gm54362,,
2521,ENSMUSG00000118137,Gm50385,,
2522,ENSMUSG00000083405,Gm15725,,
2523,ENSMUSG00000117688,Gm8629,,
2524,ENSMUSG00000046961,Gpr156,ENSG00000175697,GPR156
2525,ENSMUSG00000001700,Gramd3,ENSG00000155324,GRAMD2B
2526,ENSMUSG00000065188,Gm25140,ENSG00000200340,RNU1-105P
2527,ENSMUSG00000022812,Gsk3b,ENSG00000082701,GSK3B
2528,ENSMUSG00002076470,Gm25617,ENSG00000274998,SNORA17A
2529,ENSMUSG00000119029,Gm25617,,
2530,ENSMUSG00000022678,Nde1,ENSG00000072864,NDE1
2531,ENSMUSG00000024331,Dsc2,ENSG00000134755,DSC2
2532,ENSMUSG00000002489,Tiam1,ENSG00000156299,TIAM1
2533,ENSMUSG00000044322,Dsc1,ENSG00000134765,DSC1
2534,ENSMUSG00000034774,Dsg1c,ENSG00000134760,DSG1
2535,ENSMUSG00000069441,Dsg1a,ENSG00000134760,DSG1
2536,ENSMUSG00000116536,Gm2805,,
2537,ENSMUSG00000116553,Gm7307,,
2538,ENSMUSG00000116829,Gm49704,,
2539,ENSMUSG00000022982,Sod1,ENSG00000142168,SOD1
2540,ENSMUSG00000061928,Dsg1b,ENSG00000134760,DSG1
2541,ENSMUSG00000022983,Scaf4,ENSG00000156304,SCAF4
2542,ENSMUSG00000053644,Aldh7a1,ENSG00000164904,ALDH7A1
2543,ENSMUSG00000116600,Gm49707,,
2544,ENSMUSG00000116656,Gm49708,,
2545,ENSMUSG00000116989,Gm49709,,
2546,ENSMUSG00000116849,Gm49710,,
2547,ENSMUSG00000053414,Hunk,ENSG00000142149,HUNK
2548,ENSMUSG00000116753,Gm36001,,
2549,ENSMUSG00000046119,1110008E08Rik,,
2550,ENSMUSG00000116830,Gm49714,,
2551,ENSMUSG00000064471,Gm23406,,
2552,ENSMUSG00000116582,Gm36169,,
2553,ENSMUSG00000116591,Gm49715,,
2554,ENSMUSG00000022978,Mis18a,ENSG00000159055,MIS18A
2555,ENSMUSG00000039956,Mrap,ENSG00000170262,MRAP
2556,ENSMUSG00000118186,Gm8642,,
2557,ENSMUSG00000099196,Mir1258,,
2558,ENSMUSG00000001804,Dsg4,ENSG00000175065,DSG4
2559,ENSMUSG00000039929,Urb1,ENSG00000142207,URB1
2560,ENSMUSG00000117480,Gm5688,,
2561,ENSMUSG00000008301,Phax,ENSG00000164902,PHAX
2562,ENSMUSG00000032900,Tex43,ENSG00000196900,TEX43
2563,ENSMUSG00000117812,Gm50283,,
2564,ENSMUSG00000118153,Gm50288,,
2565,ENSMUSG00000118275,Gm50289,,
2566,ENSMUSG00000024590,Lmnb1,ENSG00000113368,LMNB1
2567,ENSMUSG00000018830,Myh11,ENSG00000133392,MYH11
2568,ENSMUSG00000032656,Marchf3,ENSG00000173926,MARCHF3
2569,ENSMUSG00000056632,Dsg3,ENSG00000134757,DSG3
2570,ENSMUSG00000087597,Gm15345,,
2571,ENSMUSG00000117917,Gm18087,,
2572,ENSMUSG00000117627,Tpi-rs10,,
2573,ENSMUSG00000024592,C330018D20Rik,ENSG00000164241,C5orf63
2574,ENSMUSG00000118050,Gm18739,,
2575,ENSMUSG00000118177,Gm19486,,
2576,ENSMUSG00000044393,Dsg2,ENSG00000046604,DSG2
2577,ENSMUSG00000085595,Gm16090,,
2578,ENSMUSG00000061808,Ttr,ENSG00000118271,TTR
2579,ENSMUSG00000091449,Gm10269,,
2580,ENSMUSG00000056124,B4galt6,ENSG00000118276,B4GALT6
2581,ENSMUSG00000024593,Megf10,ENSG00000145794,MEGF10
2582,ENSMUSG00000118230,Gm50200,,
2583,ENSMUSG00000118343,Gm50201,,
2584,ENSMUSG00000033382,Trappc8,ENSG00000153339,TRAPPC8
2585,ENSMUSG00000022677,Cep20,ENSG00000133393,CEP20
2586,ENSMUSG00000085612,Gm15868,,
2587,ENSMUSG00000116025,Gm49517,,
2588,ENSMUSG00000039903,Eva1c,ENSG00000166979,EVA1C
2589,ENSMUSG00000077223,Gm22271,,
2590,ENSMUSG00000044387,2410080I02Rik,,
2591,ENSMUSG00000033863,Klf9,ENSG00000119138,KLF9
2592,ENSMUSG00002076630,Gm54372,,
2593,ENSMUSG00000080626,Mir1192,,
2594,ENSMUSG00000033107,Rnf125,ENSG00000101695,RNF125
2595,ENSMUSG00000025075,Habp2,ENSG00000148702,HABP2
2596,ENSMUSG00000024317,Rnf138,ENSG00000134758,RNF138
2597,ENSMUSG00000116543,Gm36363,,
2598,ENSMUSG00000083226,Gm7831,,
2599,ENSMUSG00000116836,Gm49727,,
2600,ENSMUSG00000022972,Cfap298,ENSG00000159079,CFAP298
2601,ENSMUSG00000022790,Igsf11,ENSG00000144847,IGSF11
2602,ENSMUSG00000024313,Mep1b,ENSG00000141434,MEP1B
2603,ENSMUSG00000116607,4930534H18Rik,,
2604,ENSMUSG00000116965,Gm36742,,
2605,ENSMUSG00000116573,Gm36903,,
2606,ENSMUSG00002076331,Gm54403,,
2607,ENSMUSG00000098070,Gm8609,,
2608,ENSMUSG00000062962,Gm6378,,
2609,ENSMUSG00000061080,Lsamp,ENSG00000185565,LSAMP
2610,ENSMUSG00000042680,Garem1,ENSG00000141441,GAREM1
2611,ENSMUSG00000024943,Smc5,ENSG00000198887,SMC5
2612,ENSMUSG00000119849,Gm54376,ENSG00000222395,Y_RNA
2613,ENSMUSG00000117632,Gm50049,,
2614,ENSMUSG00000117357,Gm41675,,
2615,ENSMUSG00000117590,Gm50052,,
2616,ENSMUSG00000119907,Gm22886,,
2617,ENSMUSG00000117386,Gm4837,,
2618,ENSMUSG00000024598,Fbn2,ENSG00000138829,FBN2
2619,ENSMUSG00000102456,Gm37508,,
2620,ENSMUSG00000077535,Gm22543,ENSG00000200456,RNU6-1097P
2621,ENSMUSG00000102417,Gm36939,,
